"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.990663101604278,0.511268541238947,0.119231762102612,172.696,0.455263157894737,0.00933689839572193,0.501809363639841,0.223549564941755,0.872666666666667,0.0053734274328294,0.511563125102713,0.0448577680525164,0.630769230769231,0.0232558139534884,0.918,0.612903225806452,0.00641018916490615,0.0226666666666667,0
"NB",0.0961818181818182,0.527141908496362,0.105115518394445,175.562,0.0191144230572187,0.903818181818182,0.502126187566677,0.0273529091038934,0.0114001149391744,0.971240023515313,0.509519042017307,0.0190486140130937,0.00962277095928647,0.93079977311401,0.994,0.00962108324967386,0.024689352824033,0.931,0
"RF",0.990294117647059,0.520654468668378,0.12447615297928,172.698,0.436243386243386,0.00970588235294118,0.501729278470741,0.225045833744042,0.795555555555556,0.00614695876668411,0.521208665701894,0.0772750381291307,0.372549019607843,0.0431083380601248,0.854,0.356893542757417,0.0118698052499939,0.042,0
"DT",0.990139037433155,0.533207397124101,0.124287133791447,172.924,0.457357142857143,0.00986096256684492,0.504788247315865,0.21352840690008,0.43102766798419,0.0154423252413034,0.533490350273504,0.115163147792706,0.373831775700935,0.0680657969370391,0.824,0.357344632768362,0.0198193402297176,0.0675,0.002
"KNN_1",0.984192513368984,0.566430455681193,0.124644457201837,180.09,0.461255411255411,0.015807486631016,0.514370528948773,0.233981906898909,0.090778759666877,0.052311814070809,0.567849586360722,0.146158290005777,0.1489111241907,0.143505388542258,0.92,0.1475,0.0410302609029756,0.140666666666667,0.016
"KNN_3",0.989283422459893,0.545737469207778,0.120996698881964,173.264,0.529149977748109,0.010716577540107,0.509612168474865,0.308839097779037,0.317874063045563,0.0307439716875433,0.545699342025179,0.141388174807198,0.288966725043783,0.0935904707884288,0.844,0.262383900928793,0.0283963026723131,0.0936666666666667,0.01
"KNN_5",0.990026737967914,0.53274490792544,0.120417806128362,172.832,0.546,0.00997326203208556,0.506470606746262,0.270334918834244,0.506613403715385,0.0202528621684536,0.532310033163781,0.110634239389604,0.347305389221557,0.0657969370391378,0.878,0.309701492537313,0.0208971792901708,0.0666666666666667,0.008
"KNN_7",0.990449197860963,0.522641354962475,0.11614352203012,172.722,0.524489795918367,0.00955080213903743,0.504069866323816,0.221509714804678,0.614766240624364,0.0124382810917242,0.522129668527141,0.0812757201646091,0.43646408839779,0.0448099829835508,0.904,0.414492753623188,0.0148334802457444,0.0458333333333333,0.004
"RANDOM",0.677867379679144,0.510970271031611,0.0604876853844614,210.2022,0.0257935458997736,0.322132620320856,0.50168645466613,0.0376876765198026,0.05016671956213,0.346055663829772,0.511884263881094,0.0196471879983229,0.0101142086577494,0.342711287577992,0.9966,0.0101045821837708,0.0696470597940148,0.340883333333333,0
"TOP3",0.989641711229946,0.546496252697815,0.123738020968085,172.824,0.531812169312169,0.0103582887700535,0.509926109053327,0.307863330443591,0.604316110888579,0.0311084605333563,0.54644200790849,0.147071774548657,0.328740157480315,0.0947249007373795,0.836,0.296232876712329,0.0287475022546448,0.0948333333333333,0.012
"ALL",0.447502673796791,0.634046457299177,0.0780661690095081,193.206,0.0231669685260037,0.552497326203209,0.517588213332842,0.0749358386877308,0.114853394773437,0.83828898238793,0.555667175203561,0.0222211706809256,0.011299108775577,0.665910380034033,0.994,0.0112919271551413,0.0916261106702541,0.6693,0
